NAME,LINK,DEADLINE,STIPENDS,REMARKS
AppFlowy mentorship program,https://docs.appflowy.io/docs/essential-documentation/contribute-to-appflowy/appflowy-mentorship-program/contributor-guidance#more-info,Rolling basis,Yes,AppFlowy is an open-source alternation to Notion. You are in charge of your data and customizations. The AppFlowy mentorship program is aimed at creating a hands-on learning opportunity for new developers who may otherwise lack the opportunity to gain exposure to real-world software practice and entry to the technical community.
Google Summer Of Code(GSoC),https://summerofcode.withgoogle.com/,"April 4, 2023",Yes,"Google Summer of Code is a global, online program focused on bringing new contributors into open source software development. GSoC Contributors work with an open source organization on a 12+ week programming project under the guidance of mentors."
Google Season Of Docs,https://developers.google.com/season-of-docs,"May 10, 2023",Yes,"Google Season of Docs provides support for open source projects to improve their documentation and gives professional technical writers an opportunity to gain experience in open source. Together we raise awareness of open source, of docs, and of technical writing."
Outreachy Internship,https://www.outreachy.org/,"Aug 22, 2023 (December 2023 internships)","$7,000 USD",Outreachy provides internships in open source and open science. Outreachy provides internships to people subject to systemic bias and impacted by underrepresentation in the technical industry where they are living.
Hyper ledger Mentorship Program,https://wiki.hyperledger.org/plugins/servlet/mobile?contentId=2392261#content/view/2392261,15-Mar-23,Yes,"The Hyperledger Mentorship Program is aimed at creating a structured hands-on learning opportunity for new contributors who may otherwise lack the opportunity to gain exposure to or entry into the Hyperledger open source development community. It also provides a more defined path for Hyperledger to connect with the next generation of developers and researchers to inject more talent into its community. Each mentee will apply and be matched with a mentor or mentors who are active contributors in the Hyperledger community. Each mentee will work remotely from their location of choice. Regular evaluation and feedback will be provided. Mentees will have the opportunity to showcase their learnings and contributions through blogging, speaking at meetups or regional events, or travel to a global Hyperledger event to present their work in person and network with others in the broader community."
Major League Hacking (MLH) Fellowship,https://fellowship.mlh.io/#programs,"31 July 2023 (ASIA), 31 August 2023 (Other)",Yes,"A fully remote, 12-week internship alternative where participants earn a stipend and learn to collaborate on real open source projects with peers and engineers from top companies. Fellowship Tracks: 1. Software Engineering 2. Site Reliability Engineering 3. Web3 Engineering"
Reinforcement Learning Open Source Fest,https://www.microsoft.com/en-us/research/academic-program/rl-open-source-fest/,"April 3, 2023"," $10,000 USD","Summer (May-August 2022) or {Fall (September – December 2022)}need confirmation RL Open-Source Fest is a global online program focused on introducing students to open-source reinforcement learning programs and software development while working alongside researchers, data scientists, and engineers on the Real World Reinforcement Learning team at Microsoft Research NYC. Our goal is to bring together a diverse group of students from around the world to collectively solve open-source reinforcement learning problems and advance the state-of-the-art research?and development?alongside the RL community while providing open-source code written and released to benefit all."
The X.Org Endless Vacation Of Code (EVoC),https://www.x.org/wiki/XorgEVoC/,Rolling basis,Yes,"Rather than lose out on getting students working on X, the X.Org Foundation Board voted in 2008 to initiate a program known as the X.Org Endless Vacation of Code (EVoC) program. The basic terms and conditions of this program are quite similar to Google's GSoC. We welcome international students and GSoC alumni. The key differences are that:

an EVoC mentorship can be initiated at any time during the calendar year,
the Board can fund as many of these mentorships as it sees fit.
We will also consider a broader range of proposals than GSoC: technical documentation is a specific area of interest for us."
Linux Foundation Networking (LFN) Mentorship Program,https://wiki.lfnetworking.org/display/LN/LFN+Mentorship+Program,28-Apr-23,Yes,"The LF Networking (LFN) intern/mentorship program is aimed at creating a structured hands-on learning opportunity for new developers who may otherwise lack the opportunity to gain exposure to open source software development and entry to the LFN projects' technical communities. It also provides a more defined path for LFN projects to connect with the next generation of student developers to inject more talent into their developer base. Each mentee will apply and be matched with a mentor or mentors who are active developers and technologists contributing to the industry's leading open source networking projects such as ONAP, Anuket, OpenDaylight, FD.io. Each mentee will work remotely from his/her location of choice. Regular evaluation and feedback will be provided. Mentees who have done outstanding work may have the opportunity to travel to an LFN conference/event to meet their peers and mentors face-to-face and to present their work to the broader community."
LFX Mentorship Program,https://mentorship.lfx.linuxfoundation.org/#projects_all,"Jan 26th - Feb 1st (Spring), May 9th - May 24th (Summer), Fall Term",Yes,https://docs.linuxfoundation.org/lfx/mentorship/mentorship-program-timelines
Summer of Haskell,https://summer.haskell.org/,Apr-20,Yes,
Open Mainframe Project,https://openmainframeproject.org/projects/mentorship/,,,
Season of KDE,https://season.kde.org/,"January 15, 2023",,
Intern at the FSF,https://www.fsf.org/volunteer/internships,"November 12, 2023 (Fall), Summer",No,
The Processing Foundation Fellowship,https://processingfoundation.org/fellowships,,,
Codeheat,https://codeheat.org/,,,
FOSSASIA Internship Program,https://docs.google.com/forms/d/e/1FAIpQLScp8h5SIPVK5G2SAm5vtrv7KLKeOeYTxlZBkDRE6I7Toybt0A/viewform,,,
DrivenData Competions,https://www.drivendata.org/competitions/,,,
Kubernetes Release Team Shadows,https://github.com/kubernetes/sig-release/blob/master/release-team/shadows.md,,,
24 Pull Requests,https://24pullrequests.com/about,,,
Hacktoberfest,https://hacktoberfest.digitalocean.com,,,
